#-----------------------------------------------------------------------------
# Date d'extraction : 11/02/2025 - 14h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;NORTXm_seas_JJA;NORTX30D_yr;NORRx1d_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
2566;42.5776;8.9052;REF;25.39;6.8;49.53;11;151;
2567;42.5716;9.002;REF;23.76;3.2;55.06;11;131;
2568;42.5654;9.0989;REF;23.84;3.4;52.11;12;140;
2569;42.5592;9.1957;REF;21.7;0.9;57.84;5;104;
2570;42.5529;9.2925;REF;22.12;1.6;75.46;10;98;
2571;42.5465;9.3892;REF;25.09;9.5;96.64;3;107;
2572;42.54;9.486;REF;26.69;9;83.29;4;148;
2611;42.8106;-0.6407;REF;14.28;0;93.2;0;21;
2612;42.8133;-0.5431;REF;16.05;0;78.28;0;24;
2613;42.8159;-0.4456;REF;14.29;0;82.35;0;27;
2614;42.8184;-0.3481;REF;13.77;0;85.67;0;24;
2615;42.8208;-0.2505;REF;11.51;0;76.07;0;13;
2616;42.8231;-0.1529;REF;12.91;0;71.72;0;18;
2617;42.8254;-0.0554;REF;13.6;0;72.01;0;13;
2618;42.8275;0.0422;REF;15.07;0;66.15;0;33;
2619;42.8296;0.1398;REF;11.6;0;77.67;0;15;
2620;42.8315;0.2374;REF;14.29;0;70.41;0;24;
2621;42.8334;0.335;REF;19.89;1.3;54.79;0;64;
2622;42.8352;0.4326;REF;18.01;0.2;57.72;0;55;
2623;42.8369;0.5302;REF;18.47;0.3;62.08;0;35;
2624;42.8385;0.6278;REF;19.97;1.1;58.39;0;35;
2625;42.84;0.7254;REF;20.79;2.6;58;0;37;
2626;42.8414;0.823;REF;16.86;0;64.72;0;23;
2627;42.8428;0.9206;REF;17.77;0.1;69.87;0;20;
2628;42.844;1.0183;REF;19.61;0.8;64.83;0;24;
2629;42.8452;1.1159;REF;18.59;0.2;68.68;0;16;
2630;42.8463;1.2136;REF;22.23;5.6;58.1;0;30;
2631;42.8472;1.3112;REF;21.22;2.9;62.78;0;27;
2632;42.8481;1.4088;REF;19.28;0.5;67.42;0;27;
2633;42.8489;1.5065;REF;20.4;1.6;60.26;0;51;
2634;42.8497;1.6041;REF;23.2;6.4;53.94;0;71;
2635;42.8503;1.7018;REF;19.51;0.8;62.13;0;42;
2636;42.8508;1.7995;REF;18.96;0.5;63.93;0;39;
2637;42.8513;1.8971;REF;21.58;3.3;58.41;0;50;
2638;42.8516;1.9948;REF;20.81;2.4;58.9;0;69;
2639;42.8519;2.0924;REF;21.24;3;58.68;0;71;
2640;42.8521;2.1901;REF;23.56;8.3;54.31;2;96;
2641;42.8522;2.2877;REF;22.47;5.1;57.3;1;81;
2642;42.8522;2.3854;REF;22.65;5.2;81.35;2;94;
2643;42.8521;2.4831;REF;23.8;8.8;76.98;4;110;
2644;42.8519;2.5807;REF;24.61;12.3;72.64;7;117;
2645;42.8516;2.6784;REF;25.63;17.8;72.62;11;126;
2646;42.8513;2.776;REF;25.54;12.8;91.19;20;150;
2647;42.8508;2.8737;REF;26.24;15.8;86.74;28;153;
2648;42.8503;2.9714;REF;26.94;20.3;83.19;37;181;
